data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-07-19,True,Paulista,2510907,SERTAO PARAIBANO,SOUSA,78,1
2020-07-19,True,Pedra Branca,2511004,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-07-19,True,Pedra Lavrada,2511103,BORBOREMA,SERIDO ORIENTAL PARAIBANO,30,0
2020-07-19,True,Pedras de Fogo,2511202,MATA PARAIBANA,LITORAL SUL,1123,20
2020-07-19,True,Pedro Régis,2512721,MATA PARAIBANA,LITORAL NORTE,35,1
2020-07-19,True,Piancó,2511301,SERTAO PARAIBANO,PIANCO,104,3
2020-07-19,True,Picuí,2511400,BORBOREMA,SERIDO ORIENTAL PARAIBANO,143,2
2020-07-19,True,Pilar,2511509,MATA PARAIBANA,SAPE,219,3
2020-07-19,True,Pilões,2511608,AGRESTE PARAIBANO,BREJO PARAIBANO,58,0
2020-07-19,True,Pilõezinhos,2511707,AGRESTE PARAIBANO,GUARABIRA,193,1
2020-07-19,True,Pirpirituba,2511806,AGRESTE PARAIBANO,GUARABIRA,168,2
2020-07-19,True,Pitimbu,2511905,MATA PARAIBANA,LITORAL SUL,551,6
2020-07-19,True,Pocinhos,2512002,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,79,1
2020-07-19,True,Poço Dantas,2512036,SERTAO PARAIBANO,CAJAZEIRAS,4,0
2020-07-19,True,Poço de José de Moura,2512077,SERTAO PARAIBANO,CAJAZEIRAS,2,0
2020-07-19,True,Pombal,2512101,SERTAO PARAIBANO,SOUSA,237,1
2020-07-19,True,Prata,2512200,BORBOREMA,CARIRI OCIDENTAL,3,0
2020-07-19,True,Princesa Isabel,2512309,SERTAO PARAIBANO,SERRA DO TEIXEIRA,48,3
2020-07-19,True,Puxinanã,2512408,AGRESTE PARAIBANO,CAMPINA GRANDE,219,1
2020-07-19,True,Queimadas,2512507,AGRESTE PARAIBANO,CAMPINA GRANDE,733,5
2020-07-19,True,Quixabá,2512606,SERTAO PARAIBANO,PATOS,26,0
2020-07-19,True,Remígio,2512705,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,192,3
2020-07-19,True,Riachão,2512747,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,43,0
2020-07-19,True,Riachão do Bacamarte,2512754,AGRESTE PARAIBANO,ITABAIANA,199,0
2020-07-19,True,Riachão do Poço,2512762,MATA PARAIBANA,SAPE,58,2
2020-07-19,True,Riacho de Santo Antônio,2512788,BORBOREMA,CARIRI ORIENTAL,20,0
2020-07-19,True,Riacho dos Cavalos,2512804,SERTAO PARAIBANO,CATOLE DO ROCHA,6,0
2020-07-19,True,Rio Tinto,2512903,MATA PARAIBANA,LITORAL NORTE,751,16
2020-07-19,True,Salgadinho,2513000,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,12,0
2020-07-19,True,Salgado de São Félix,2513109,AGRESTE PARAIBANO,ITABAIANA,154,2
2020-07-19,True,Santa Cecília,2513158,AGRESTE PARAIBANO,UMBUZEIRO,49,0
2020-07-19,True,Santa Cruz,2513208,SERTAO PARAIBANO,SOUSA,16,2
2020-07-19,True,Santa Helena,2513307,SERTAO PARAIBANO,CAJAZEIRAS,13,0
2020-07-19,True,Santa Inês,2513356,SERTAO PARAIBANO,ITAPORANGA,30,0
2020-07-19,True,Santa Luzia,2513406,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,187,7
2020-07-19,True,Santa Rita,2513703,MATA PARAIBANA,JOAO PESSOA,1769,116
2020-07-19,True,Santa Teresinha,2513802,SERTAO PARAIBANO,PATOS,46,0
2020-07-19,True,Santana de Mangueira,2513505,SERTAO PARAIBANO,ITAPORANGA,5,0
2020-07-19,True,Santana dos Garrotes,2513604,SERTAO PARAIBANO,PIANCO,10,0
2020-07-19,True,Santo André,2513851,BORBOREMA,CARIRI ORIENTAL,12,0
2020-07-19,True,São Bentinho,2513927,SERTAO PARAIBANO,SOUSA,35,0
2020-07-19,True,São Bento,2513901,SERTAO PARAIBANO,CATOLE DO ROCHA,875,13
2020-07-19,True,São Domingos de Pombal,2513968,SERTAO PARAIBANO,SOUSA,0,0
2020-07-19,True,São Domingos do Cariri,2513943,BORBOREMA,CARIRI ORIENTAL,37,1
2020-07-19,True,São Francisco,2513984,SERTAO PARAIBANO,SOUSA,23,0
2020-07-19,True,São João do Cariri,2514008,BORBOREMA,CARIRI ORIENTAL,64,0
2020-07-19,True,São João do Rio do Peixe,2500700,SERTAO PARAIBANO,CAJAZEIRAS,123,1
2020-07-19,True,São João do Tigre,2514107,BORBOREMA,CARIRI OCIDENTAL,5,0
2020-07-19,True,São José da Lagoa Tapada,2514206,SERTAO PARAIBANO,SOUSA,34,0
2020-07-19,True,São José de Caiana,2514305,SERTAO PARAIBANO,ITAPORANGA,32,0
2020-07-19,True,São José de Espinharas,2514404,SERTAO PARAIBANO,PATOS,12,0
2020-07-19,True,São José de Piranhas,2514503,SERTAO PARAIBANO,CAJAZEIRAS,84,1
2020-07-19,True,São José de Princesa,2514552,SERTAO PARAIBANO,SERRA DO TEIXEIRA,1,0
2020-07-19,True,São José do Bonfim,2514602,SERTAO PARAIBANO,PATOS,53,2
2020-07-19,True,São José do Brejo do Cruz,2514651,SERTAO PARAIBANO,CATOLE DO ROCHA,5,0
2020-07-19,True,São José do Sabugi,2514701,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,182,1
2020-07-19,True,São José dos Cordeiros,2514800,BORBOREMA,CARIRI OCIDENTAL,10,0
2020-07-19,True,São José dos Ramos,2514453,MATA PARAIBANA,SAPE,171,0
2020-07-19,True,São Mamede,2514909,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,35,3
2020-07-19,True,São Miguel de Taipu,2515005,MATA PARAIBANA,SAPE,90,2
2020-07-19,True,São Sebastião de Lagoa de Roça,2515104,AGRESTE PARAIBANO,ESPERANCA,158,2
2020-07-19,True,São Sebastião do Umbuzeiro,2515203,BORBOREMA,CARIRI OCIDENTAL,5,0
2020-07-19,True,São Vicente do Seridó,2515401,BORBOREMA,SERIDO ORIENTAL PARAIBANO,42,0
2020-07-19,True,Sapé,2515302,MATA PARAIBANA,SAPE,714,22
2020-07-19,True,Serra Branca,2515500,BORBOREMA,CARIRI OCIDENTAL,107,1
2020-07-19,True,Serra da Raiz,2515609,AGRESTE PARAIBANO,GUARABIRA,14,0
2020-07-19,True,Serra Grande,2515708,SERTAO PARAIBANO,ITAPORANGA,8,0
2020-07-19,True,Serra Redonda,2515807,AGRESTE PARAIBANO,CAMPINA GRANDE,167,0
2020-07-19,True,Serraria,2515906,AGRESTE PARAIBANO,BREJO PARAIBANO,72,1
2020-07-19,True,Sertãozinho,2515930,AGRESTE PARAIBANO,GUARABIRA,82,0
2020-07-19,True,Sobrado,2515971,MATA PARAIBANA,SAPE,133,2
2020-07-19,True,Solânea,2516003,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,232,1
2020-07-19,True,Soledade,2516102,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,110,1
2020-07-19,True,Sossêgo,2516151,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,8,0
2020-07-19,True,Sousa,2516201,SERTAO PARAIBANO,SOUSA,921,13
2020-07-19,True,Sumé,2516300,BORBOREMA,CARIRI OCIDENTAL,129,1
2020-07-19,True,Tacima,2516409,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,93,1
2020-07-19,True,Taperoá,2516508,BORBOREMA,CARIRI OCIDENTAL,53,2
2020-07-19,True,Tavares,2516607,SERTAO PARAIBANO,SERRA DO TEIXEIRA,45,1
2020-07-19,True,Teixeira,2516706,SERTAO PARAIBANO,SERRA DO TEIXEIRA,106,2
2020-07-19,True,Tenório,2516755,BORBOREMA,SERIDO ORIENTAL PARAIBANO,13,0
2020-07-19,True,Triunfo,2516805,SERTAO PARAIBANO,CAJAZEIRAS,27,1
2020-07-19,True,Uiraúna,2516904,SERTAO PARAIBANO,CAJAZEIRAS,35,1
2020-07-19,True,Umbuzeiro,2517001,AGRESTE PARAIBANO,UMBUZEIRO,59,2
2020-07-19,True,Várzea,2517100,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,9,0
2020-07-19,True,Vieirópolis,2517209,SERTAO PARAIBANO,SOUSA,4,0
2020-07-19,True,Vista Serrana,2505501,SERTAO PARAIBANO,SOUSA,3,0
2020-07-19,True,Zabelê,2517407,BORBOREMA,CARIRI OCIDENTAL,13,0
