data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-06-04,True,Ouro Velho,2510600,BORBOREMA,CARIRI OCIDENTAL,1,0
2020-06-04,True,Parari,2510659,BORBOREMA,CARIRI OCIDENTAL,0,0
2020-06-04,True,Passagem,2510709,SERTAO PARAIBANO,PATOS,13,0
2020-06-04,True,Patos,2510808,SERTAO PARAIBANO,PATOS,687,25
2020-06-04,True,Paulista,2510907,SERTAO PARAIBANO,SOUSA,19,0
2020-06-04,True,Pedra Branca,2511004,SERTAO PARAIBANO,ITAPORANGA,0,0
2020-06-04,True,Pedra Lavrada,2511103,BORBOREMA,SERIDO ORIENTAL PARAIBANO,1,0
2020-06-04,True,Pedras de Fogo,2511202,MATA PARAIBANA,LITORAL SUL,309,4
2020-06-04,True,Pedro Régis,2512721,MATA PARAIBANA,LITORAL NORTE,1,0
2020-06-04,True,Piancó,2511301,SERTAO PARAIBANO,PIANCO,19,2
2020-06-04,True,Picuí,2511400,BORBOREMA,SERIDO ORIENTAL PARAIBANO,26,0
2020-06-04,True,Pilar,2511509,MATA PARAIBANA,SAPE,47,0
2020-06-04,True,Pilões,2511608,AGRESTE PARAIBANO,BREJO PARAIBANO,14,0
2020-06-04,True,Pilõezinhos,2511707,AGRESTE PARAIBANO,GUARABIRA,68,0
2020-06-04,True,Pirpirituba,2511806,AGRESTE PARAIBANO,GUARABIRA,23,0
2020-06-04,True,Pitimbu,2511905,MATA PARAIBANA,LITORAL SUL,128,4
2020-06-04,True,Pocinhos,2512002,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,10,0
2020-06-04,True,Poço Dantas,2512036,SERTAO PARAIBANO,CAJAZEIRAS,0,0
2020-06-04,True,Poço de José de Moura,2512077,SERTAO PARAIBANO,CAJAZEIRAS,0,0
2020-06-04,True,Pombal,2512101,SERTAO PARAIBANO,SOUSA,73,0
2020-06-04,True,Prata,2512200,BORBOREMA,CARIRI OCIDENTAL,1,0
2020-06-04,True,Princesa Isabel,2512309,SERTAO PARAIBANO,SERRA DO TEIXEIRA,14,0
2020-06-04,True,Puxinanã,2512408,AGRESTE PARAIBANO,CAMPINA GRANDE,50,0
2020-06-04,True,Queimadas,2512507,AGRESTE PARAIBANO,CAMPINA GRANDE,108,0
2020-06-04,True,Quixabá,2512606,SERTAO PARAIBANO,PATOS,6,0
2020-06-04,True,Remígio,2512705,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,49,2
2020-06-04,True,Riachão,2512747,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,1,0
2020-06-04,True,Riachão do Bacamarte,2512754,AGRESTE PARAIBANO,ITABAIANA,112,0
2020-06-04,True,Riachão do Poço,2512762,MATA PARAIBANA,SAPE,6,1
2020-06-04,True,Riacho de Santo Antônio,2512788,BORBOREMA,CARIRI ORIENTAL,5,0
2020-06-04,True,Riacho dos Cavalos,2512804,SERTAO PARAIBANO,CATOLE DO ROCHA,2,0
2020-06-04,True,Rio Tinto,2512903,MATA PARAIBANA,LITORAL NORTE,89,2
2020-06-04,True,Salgadinho,2513000,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,5,0
2020-06-04,True,Salgado de São Félix,2513109,AGRESTE PARAIBANO,ITABAIANA,36,0
2020-06-04,True,Santa Cecília,2513158,AGRESTE PARAIBANO,UMBUZEIRO,5,0
2020-06-04,True,Santa Cruz,2513208,SERTAO PARAIBANO,SOUSA,0,0
2020-06-04,True,Santa Helena,2513307,SERTAO PARAIBANO,CAJAZEIRAS,2,0
2020-06-04,True,Santa Inês,2513356,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-04,True,Santa Luzia,2513406,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,72,3
2020-06-04,True,Santa Rita,2513703,MATA PARAIBANA,JOAO PESSOA,705,69
2020-06-04,True,Santa Teresinha,2513802,SERTAO PARAIBANO,PATOS,17,0
2020-06-04,True,Santana de Mangueira,2513505,SERTAO PARAIBANO,ITAPORANGA,0,0
2020-06-04,True,Santana dos Garrotes,2513604,SERTAO PARAIBANO,PIANCO,2,0
2020-06-04,True,Santo André,2513851,BORBOREMA,CARIRI ORIENTAL,1,0
2020-06-04,True,São Bentinho,2513927,SERTAO PARAIBANO,SOUSA,10,0
2020-06-04,True,São Bento,2513901,SERTAO PARAIBANO,CATOLE DO ROCHA,173,5
2020-06-04,True,São Domingos de Pombal,2513968,SERTAO PARAIBANO,SOUSA,0,0
2020-06-04,True,São Domingos do Cariri,2513943,BORBOREMA,CARIRI ORIENTAL,0,0
2020-06-04,True,São Francisco,2513984,SERTAO PARAIBANO,SOUSA,4,0
2020-06-04,True,São João do Cariri,2514008,BORBOREMA,CARIRI ORIENTAL,10,0
2020-06-04,True,São João do Rio do Peixe,2500700,SERTAO PARAIBANO,CAJAZEIRAS,13,0
2020-06-04,True,São João do Tigre,2514107,BORBOREMA,CARIRI OCIDENTAL,1,0
2020-06-04,True,São José da Lagoa Tapada,2514206,SERTAO PARAIBANO,SOUSA,15,0
2020-06-04,True,São José de Caiana,2514305,SERTAO PARAIBANO,ITAPORANGA,15,0
2020-06-04,True,São José de Espinharas,2514404,SERTAO PARAIBANO,PATOS,3,0
2020-06-04,True,São José de Piranhas,2514503,SERTAO PARAIBANO,CAJAZEIRAS,8,1
2020-06-04,True,São José de Princesa,2514552,SERTAO PARAIBANO,SERRA DO TEIXEIRA,0,0
2020-06-04,True,São José do Bonfim,2514602,SERTAO PARAIBANO,PATOS,15,0
2020-06-04,True,São José do Brejo do Cruz,2514651,SERTAO PARAIBANO,CATOLE DO ROCHA,0,0
2020-06-04,True,São José do Sabugi,2514701,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,68,0
2020-06-04,True,São José dos Cordeiros,2514800,BORBOREMA,CARIRI OCIDENTAL,3,0
2020-06-04,True,São José dos Ramos,2514453,MATA PARAIBANA,SAPE,17,0
2020-06-04,True,São Mamede,2514909,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,16,1
2020-06-04,True,São Miguel de Taipu,2515005,MATA PARAIBANA,SAPE,29,1
2020-06-04,True,São Sebastião de Lagoa de Roça,2515104,AGRESTE PARAIBANO,ESPERANCA,27,2
2020-06-04,True,São Sebastião do Umbuzeiro,2515203,BORBOREMA,CARIRI OCIDENTAL,4,0
2020-06-04,True,São Vicente do Seridó,2515401,BORBOREMA,SERIDO ORIENTAL PARAIBANO,17,0
2020-06-04,True,Sapé,2515302,MATA PARAIBANA,SAPE,274,6
2020-06-04,True,Serra Branca,2515500,BORBOREMA,CARIRI OCIDENTAL,3,0
2020-06-04,True,Serra da Raiz,2515609,AGRESTE PARAIBANO,GUARABIRA,11,0
2020-06-04,True,Serra Grande,2515708,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-04,True,Serra Redonda,2515807,AGRESTE PARAIBANO,CAMPINA GRANDE,53,0
2020-06-04,True,Serraria,2515906,AGRESTE PARAIBANO,BREJO PARAIBANO,14,1
2020-06-04,True,Sertãozinho,2515930,AGRESTE PARAIBANO,GUARABIRA,17,0
2020-06-04,True,Sobrado,2515971,MATA PARAIBANA,SAPE,26,1
2020-06-04,True,Solânea,2516003,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,82,0
